League_Name,Team_Name,Season,Player_Name,Scores
Serie A,Frosinone,2024,Pol Lirola,2
Serie A,Frosinone,2024,Ilario Monterisi,2
Serie A,Lecce,2024,Lameck Banda,2
Serie A,Lecce,2024,Patrick Dorgu,2
Serie A,Lecce,2024,Nicola Sansone,2
Serie A,Lecce,2024,Pontus Almqvist,2
Serie A,Lecce,2024,Valentin Gendrey,2
Serie A,Salernitana,2024,Niccolò Pierozzi,2
Serie A,Monza,2024,Valentin Carboni,2
Ligue 1,Monaco,2024,Myron Boadu,1
Ligue 1,Monaco,2024,Breel Embolo,1
Ligue 1,Monaco,2024,Thilo Kehrer,1
Ligue 1,Monaco,2024,Ismail Jakobs,1
Ligue 1,Monaco,2024,Mohamed Camara,1
Ligue 1,Monaco,2024,Wilfried Singo,1
Ligue 1,Monaco,2024,Kassoum Ouattara,1
Ligue 1,Monaco,2024,Guillermo Maripán,1
Ligue 1,Paris S-G,2024,Nuno Mendes,1
Ligue 1,Paris S-G,2024,Yoram Zague,1
Ligue 1,Paris S-G,2024,Lucas Beraldo,1
Ligue 1,Paris S-G,2024,Lucas Hernández,1
Ligue 1,Paris S-G,2024,Fabián Ruiz Peña,1
Ligue 1,Lyon,2024,Henrique,1
Ligue 1,Lyon,2024,Jeffinho,1
Ligue 1,Lyon,2024,Gift Orban,1
Ligue 1,Lyon,2024,Rayan Cherki,1
Ligue 1,Lyon,2024,Skelly Alvero,1
Ligue 1,Lyon,2024,Maxence Caqueret,1
Ligue 1,Lyon,2024,Ainsley Maitland-Niles,1
Ligue 1,Metz,2024,Ibou Sané,1
Ligue 1,Metz,2024,Arthur Atta,1
Ligue 1,Metz,2024,Simon Elisor,1
Ligue 1,Metz,2024,Lamine Camara,1
Ligue 1,Metz,2024,Youssef Maziz,1
Ligue 1,Metz,2024,Didier Lamkel Zé,1
Ligue 1,Metz,2024,Kévin Van Den Kerkhof,1
Ligue 1,Montpellier,2024,Jordan Ferri,1
Ligue 1,Montpellier,2024,Wahbi Khazri,1
Ligue 1,Montpellier,2024,Yann Karamoh,1
Ligue 1,Montpellier,2024,Issiaga Sylla,1
Ligue 1,Montpellier,2024,Maxime Estève,1
